Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6385075eee6d2a4208c492df,5e23554c114df8614f53cb3e,APPROVED,2022-11-28T19:09:22.678000Z,2022-11-28T19:18:59.287000Z,2022-11-30T07:44:50.032000,2022-11-28T19:18:59.619747Z,577,C106RT3Q,478,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63850762a202aa04b8d88525,59b19a277f6c84000151c001,APPROVED,2022-11-28T19:09:27.027000Z,2022-11-28T19:12:32.469000Z,2022-11-30T07:44:50.139000,2022-11-28T19:12:33.249556Z,186,C106RT3Q,1033,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507753d5e02d7d5600fde,5d9452e023002d001c67bab1,APPROVED,2022-11-28T19:09:44.577000Z,2022-11-28T19:13:52.347000Z,2022-11-30T07:44:50.246000,2022-11-28T19:13:52.722626Z,248,C106RT3Q,322,"English, Polish",36,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
6385079cd0879595d418bd34,56163e6e7ffc8a0005812df2,APPROVED,2022-11-28T19:10:27.733000Z,2022-11-28T19:19:45.963000Z,2022-11-30T07:44:50.350000,2022-11-28T19:19:46.561163Z,559,C106RT3Q,889,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638507c1836b346d53dded94,5bd18be2718e24000181ada8,APPROVED,2022-11-28T19:11:02.077000Z,2022-11-28T19:13:46.967000Z,2022-11-30T07:44:50.463000,2022-11-28T19:13:47.435713Z,165,C106RT3Q,368,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507c1b34ce723c4110373,6096dee4df7f250e5ba9d78d,APPROVED,2022-11-28T19:11:04.986000Z,2022-11-28T19:13:40.963000Z,2022-11-30T07:44:50.573000,2022-11-28T19:13:41.415308Z,156,C106RT3Q,120,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507c2d7381b5e1a6d5236,5c4fe78f8ac59200014cf239,APPROVED,2022-11-28T19:11:01.228000Z,2022-11-28T19:15:49.891000Z,2022-11-30T07:44:50.677000,2022-11-28T19:15:50.634447Z,289,NOCODE,485,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
638507c7837634437fee816c,5cea26087afd86001a34a5db,APPROVED,2022-11-28T19:11:07.689000Z,2022-11-28T19:13:04.780000Z,2022-11-30T07:44:50.781000,2022-11-28T19:13:05.263292Z,118,C106RT3Q,699,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638507ce3fc6ac431c3b3c9c,6229eb7cb5fc483051d3be41,APPROVED,2022-11-28T19:11:13.175000Z,2022-11-28T19:15:43.313000Z,2022-11-30T07:44:50.888000,2022-11-28T19:15:43.783417Z,271,C106RT3Q,267,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638507d86d697cbc4959d76c,598e082dcceb0f0001b397b9,APPROVED,2022-11-28T19:11:23.047000Z,2022-11-28T19:15:13.204000Z,2022-11-30T07:44:50.996000,2022-11-28T19:15:13.897883Z,231,C106RT3Q,1164,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638507dde6d9df73fe595184,6126b41565b2600c71bb995c,APPROVED,2022-11-28T19:11:31.021000Z,2022-11-28T19:14:52.251000Z,2022-11-30T07:44:51.106000,2022-11-28T19:14:52.914163Z,202,C106RT3Q,306,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507e144fb0431306d51cd,6384d2fbe2f69e8fad4e4bdd,APPROVED,2022-11-28T19:11:29.509000Z,2022-11-28T19:19:51.049000Z,2022-11-30T07:44:51.212000,2022-11-28T19:19:51.453317Z,502,C106RT3Q,2,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638507e23fc6ac431c3b3ca2,5b5a54726b25590001774752,APPROVED,2022-11-28T19:11:32.785000Z,2022-11-28T19:18:21.674000Z,2022-11-30T07:44:51.342000,2022-11-28T19:18:22.015423Z,409,C106RT3Q,349,"French, Spanish, English, German, Norwegian",35,Female,White,Austria,United Kingdom,Austria,German,No,Part-Time
638507e94fea73b29b7c527b,5ae4c7bfc67d830001ce7fab,APPROVED,2022-11-28T19:11:39.805000Z,2022-11-28T19:13:59.184000Z,2022-11-30T07:44:51.465000,2022-11-28T19:13:59.532273Z,140,C106RT3Q,26,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507e9cf3817d92500f242,5fccf2381ec527b7a7a7e652,APPROVED,2022-11-28T19:11:41.701000Z,2022-11-28T19:15:28.537000Z,2022-11-30T07:44:51.570000,2022-11-28T19:15:28.909629Z,227,C106RT3Q,507,English,40,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638507fb74f01e5d40f8560c,5974d1487dd1460001ec4826,APPROVED,2022-11-28T19:11:58.452000Z,2022-11-28T19:15:19.353000Z,2022-11-30T07:44:51.681000,2022-11-28T19:15:21.590413Z,201,C106RT3Q,229,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6385080249a3cc56c438c5f8,628183fb40140ebea0f1385c,APPROVED,2022-11-28T19:12:06.448000Z,2022-11-28T19:16:18.212000Z,2022-11-30T07:44:51.784000,2022-11-28T19:16:18.653500Z,252,C106RT3Q,130,English,25,Female,Mixed,Zimbabwe,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638508034e21d9e6dd22e67e,5ced20370b72600001fd8d91,APPROVED,2022-11-28T19:12:09.187000Z,2022-11-28T19:17:01.041000Z,2022-11-30T07:44:51.887000,2022-11-28T19:17:01.438997Z,292,C106RT3Q,511,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6385080919ac42fe114f68c4,6018575bd164e30baa860133,APPROVED,2022-11-28T19:12:14.314000Z,2022-11-28T19:16:04.429000Z,2022-11-30T07:44:51.996000,2022-11-28T19:16:04.808699Z,231,C106RT3Q,413,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
